Years Elapsed,Cumulative Out-Migrants,Instant Out-Migrants,Average Out-Migrants,Total Re-Migrants,Instant Re-Migrants,Average Re-Migrants,Total Marriages,Total Births,Total Deaths,Average Laborers,Average Household Size,Average Income,Population,GTGP Parcels Per Household,Non-GTGP Parcels Per Household
12,224,82,0.8723404255319149,140,50,0.5319148936170213,27.0,42,36,1.7127659574468086,3.1702127659574466,20082.008333610058,202,2.2127659574468086,0.2978723404255319
13,244,83,0.8829787234042553,159,51,0.5425531914893617,29.0,46,39,1.7234042553191489,3.1702127659574466,20506.585736701425,202,2.25531914893617,0.2553191489361702
14,259,84,0.8936170212765957,173,52,0.5531914893617021,29.0,52,41,1.7446808510638299,3.202127659574468,20527.668561787308,205,2.265957446808511,0.24468085106382978
15,272,82,0.8723404255319149,188,54,0.574468085106383,30.0,60,42,1.7553191489361701,3.297872340425532,20190.28799554941,214,2.276595744680851,0.23404255319148937
16,281,83,0.8829787234042553,196,53,0.5638297872340425,31.0,63,43,1.7659574468085106,3.3085106382978724,20618.777870765745,215,2.276595744680851,0.23404255319148937
17,294,80,0.851063829787234,212,57,0.6063829787234043,32.0,70,46,1.797872340425532,3.382978723404255,19954.417428622142,222,2.2872340425531914,0.22340425531914893
18,304,84,0.8936170212765957,218,54,0.574468085106383,32.0,74,47,1.7553191489361701,3.372340425531915,19816.28360278431,221,2.297872340425532,0.2127659574468085
19,308,81,0.8617021276595744,225,56,0.5957446808510638,32.0,81,50,1.7872340425531914,3.4468085106382977,19816.28360278431,228,2.297872340425532,0.2127659574468085
20,325,81,0.8617021276595744,242,58,0.6170212765957447,34.0,84,53,1.797872340425532,3.4468085106382977,19857.89821481788,228,2.297872340425532,0.2127659574468085
21,347,85,0.9042553191489362,260,56,0.5957446808510638,34.0,90,55,1.7553191489361701,3.4468085106382977,20150.33807327312,228,2.3085106382978724,0.20212765957446807
22,350,84,0.8936170212765957,264,57,0.6063829787234043,34.0,97,55,1.7553191489361701,3.5319148936170213,20327.53043553062,236,2.3085106382978724,0.20212765957446807
23,360,83,0.8829787234042553,275,59,0.6276595744680851,34.0,103,56,1.7872340425531914,3.595744680851064,20010.845883321377,242,2.3191489361702127,0.19148936170212766
24,373,82,0.8723404255319149,289,61,0.648936170212766,41.0,112,60,1.7659574468085106,3.6595744680851063,20231.08830733845,248,2.3191489361702127,0.19148936170212766
25,386,82,0.8723404255319149,302,65,0.6914893617021277,42.0,119,64,1.7765957446808511,3.6914893617021276,20036.526026801384,251,2.3191489361702127,0.19148936170212766
26,399,83,0.8829787234042553,314,64,0.6808510638297872,42.0,124,64,1.7659574468085106,3.734042553191489,20036.526026801384,255,2.3191489361702127,0.19148936170212766
27,415,84,0.8936170212765957,329,66,0.7021276595744681,43.0,127,66,1.7659574468085106,3.734042553191489,20044.231122326793,255,2.3191489361702127,0.19148936170212766
28,422,80,0.851063829787234,340,70,0.7446808510638298,43.0,132,69,1.8191489361702127,3.797872340425532,19942.63871477679,261,2.3297872340425534,0.18085106382978725
29,436,84,0.8936170212765957,350,67,0.7127659574468085,46.0,137,71,1.7659574468085106,3.7872340425531914,20643.94138107654,260,2.3297872340425534,0.18085106382978725
30,457,81,0.8617021276595744,374,74,0.7872340425531915,47.0,141,77,1.8085106382978724,3.797872340425532,20016.112076139027,261,2.3297872340425534,0.18085106382978725
31,474,83,0.8829787234042553,389,72,0.7659574468085106,48.0,146,78,1.797872340425532,3.8191489361702127,20570.62353541905,263,2.3297872340425534,0.18085106382978725
32,490,81,0.8617021276595744,407,77,0.8191489361702128,48.0,154,81,1.8191489361702127,3.893617021276596,20302.9462844432,270,2.3297872340425534,0.18085106382978725
33,505,84,0.8936170212765957,419,75,0.7978723404255319,50.0,167,82,1.797872340425532,3.9893617021276597,20693.616214664897,279,2.3297872340425534,0.18085106382978725
34,516,83,0.8829787234042553,431,77,0.8191489361702128,54.0,172,84,1.8191489361702127,4.031914893617022,20235.621063786253,283,2.3297872340425534,0.18085106382978725
35,528,83,0.8829787234042553,443,77,0.8191489361702128,54.0,179,87,1.797872340425532,4.074468085106383,20716.291423552284,287,2.3297872340425534,0.18085106382978725
36,542,84,0.8936170212765957,456,77,0.8191489361702128,58.0,184,92,1.8191489361702127,4.0638297872340425,20436.255478127943,286,2.3297872340425534,0.18085106382978725
37,552,84,0.8936170212765957,466,78,0.8297872340425532,59.0,190,97,1.8085106382978724,4.074468085106383,20243.485620845266,287,2.3297872340425534,0.18085106382978725
38,566,83,0.8829787234042553,481,81,0.8617021276595744,59.0,198,101,1.8191489361702127,4.127659574468085,20321.442294981778,292,2.3297872340425534,0.18085106382978725
39,584,85,0.9042553191489362,497,86,0.9148936170212766,61.0,203,109,1.8085106382978724,4.074468085106383,20052.96047291785,287,2.3297872340425534,0.18085106382978725
40,587,83,0.8829787234042553,502,87,0.925531914893617,63.0,211,111,1.8191489361702127,4.159574468085107,19979.677562567304,295,2.3297872340425534,0.18085106382978725
41,599,84,0.8936170212765957,513,90,0.9574468085106383,63.0,218,115,1.797872340425532,4.180851063829787,20033.86920386862,297,2.3404255319148937,0.1702127659574468
